title,text_list,tag_list
"16 січня: історичний дайджест, іменинники і прикмети","День пам’яті захисників Донецького аеропорту та усіх загиблих воїнів,Міжнародний день гарячої та гострої їжі,Всесвітній день снігу,День «Нічого»,День Дракона,Всесвітній день «The Beatles»,День свободи віросповідання в США,День пам’яті про заборону торгівлі алкоголем в США,Маленький Новий рік в Японії,Новий рік для дерев в Ізраїлі., ,Церква вшановує пам’ять священномученика Гордія.,929 – Абд Ар-Рахман III успадкував титул еміра Кордови і проголосив халіфат.,1412 – сім’я Медічі призначена офіційним банкіром Папського престолу.,1492 – королева Ізабелла I представила першу граматику іспанської мови.,1547 – Іван IV Грозний зійшов на московський престол. Церемонія відбулася в Успенському соборі кремля.,1581 – англійський парламент оголосив поза законом римо-католицтво.,1654 – у Переяслав приїхав Богдан Хмельницький (для наступного укладення союзу з Москвою).,1707 – парламент Шотландії ратифікував Акт про союз, що відкрило шлях для створення Великої Британії.,1780 – англійський флот під командуванням адмірала Джорджа Родні переміг іспанців біля мису Сан-Вінсент, звільнивши Гібралтар.,1909 – експедиція англо-ірландського дослідника Ернеста Шеклтона досягла Південного магнітного полюса Землі й уточнила його координати.,1918 – на засіданні Малої Ради УНР ухвалено рішення про створення народної армії.,Через опір частини пробільшовицьки налаштованих членів УЦР ця постанова втілювалося в життя дуже повільно.,1918 – відкриття в м. Умань першої української гімназії імені Бориса Грінченка.,1918 – на III з’їзді рад донський козак Шамов висунув гасло «Грабуй награбоване!».,1919 – у Києві за дорученням голови Директорії Симона Петлюри, для популяризації української музичної культури за кордоном, музичним відділом Міністерства освіти УНР створена Українська республіканська капела.,1919 – почалася друга фаза українсько-радянської війни: Директорія УНР оголосила війну більшовицькій Росії.,1919 – більшовицький уряд України оголосив про націоналізацію цукрової промисловості.,1920 – набула чинності 18-та поправка до Конституції США: у країні запроваджено «сухий закон».,1920 – верховна рада Антанти ухвалила рішення про припинення економічного бойкоту радянської Росії.,1924 – іспанський льотчик Пабло Пескара протримався в повітрі на гелікоптері власної конструкції 8 хвилин 13 секунд, пролетівши більше кілометра.,1936 – у Флориді на трасі кінних перегонів «Hialeah Park» встановлено перший у світі фотофініш.,1944 – американський генерал Дуайт Ейзенхауер призначений головнокомандувачем експедиційних сил союзників, покликаних відкрити другий фронт проти фашистської Німеччини.,1954 – місто Проскурів перейменоване у Хмельницький, а Кам’янець-Подільська область УРСР – у Хмельницьку.,1957 – у Ліверпулі відкрився The Cavern Club, в якому почала виступати група «The Beatles».,1959 – на Горьківському автозаводі зібрана перша партія автомобілів «Чайка», які були персональним транспортом вищої радянської партійної та господарської номенклатури (міністрів, секретарів ЦК і обкомів).,1963 – Микита Хрущов оголосив про наявність у СРСР 100-мегатонної водневої бомби.,1969 – чеський студент Ян Палах вчинив самоспалення в Празі на Вацлавській площі на знак протесту проти радянського вторгнення.,1969 – радянські космічні кораблі «Союз-4» і «Союз-5» провели перше пілотоване стикування на орбіті Землі.,1970 – прем’єр-міністром Лівії став 28-річний полковник Муаммар Каддафі, який прийшов до влади в Лівії в 1969 р. в результаті військового перевороту і повалення короля Ідріса.,1973 – у подорож по Місяцю відправився «Лунохід-2». Після посадки у східній частині Моря Ясності радянської міжпланетної станції «Луна-21».,1984 – Майкл Джексон одержав вісім статуеток «Греммі» за свій альбом «Трилер».,1991 – коаліція 28 країн на чолі зі США вступила у війну в Перській затоці проти Іраку, що було відповіддю на вторгнення Саддама Хусейна в Кувейт.,1996 – у турецькому порту Трабзон прочеченське угруповання Мухаммеда Токчана захопило теплохід «Аврасія» із 200 пасажирами на борту. Через три дні терористи здалися владі.,1997 – компанія Microsoft випустила «Office 97», комплексну офісну програму, яка миттєво стала бестселером і завоювала 80 % ринку.,2001 – спроба державного перевороту в Демократичній Республіці Конго: президент Лоран-Дезіре Кабіла убитий одним зі своїх охоронців, але змовників було викрито.,2002 – Рада безпеки ООН одностайно проголосувала за ембарго на постачання зброї і заморожування активів Осами бен Ладена, «Аль-Каїди» й «Талібану».,2003 – Верховна Рада прийняла Цивільний кодекс України.,2006 – Еллен Джонсон-Серліф прийняла присягу як президент Ліберії, ставши першою жінкою-главою держави в Африці., ,1728 – Піччіні Ніколо, італійський і французький композитор.,1749 – Вітторіо Альф’єрі, італійський письменник, основоположник класицистичної драми в Італії.,1820 – Йоганнес Ребманн, німецький мандрівник, який відкрив Кіліманджаро.,1856 – Микола Кульчицький, гістолог, професор Харківського університету, з 1918 року – професор Оксфордського університету.,1871 – Сильвестр Яричевський, український письменник.,1872 – Едвард Гордон Крег, англійський актор, режисер, сценограф, теоретик; новатор, реформатор театрального мистецтва; символіст.,1873 – Браз Йосип Еммануїлович, український живописець і графік.,1899 – Леся (Олександра) Сергіївна Кривицька, актриса, народна артистка України, уродженка м. Чигирин.,1901 – Фульхенсіо Батиста, диктатор Куби (1940–1944, 1952–1958).,1920 – Володимир Пимонович Ігнатенко, актор, народний артист України,  колишній житель м. Черкаси.,1921 – Скавулло Франческо, американський фотограф, знімав зірок світу моди, кіно, героїв поп- і рок-сцени, понад 30 років його роботи прикрашали обкладинки глянсових журналів.,1931 – Іван Семенович Дробний, поет, письменник, педагог, краєзнавець, уродженець с. Богуславець Золотоніського району.,1933 – Сьюзен Зонтаґ, американська письменниця, літературна, художня, театральна і кінокритикиня, лауреатка національних і міжнародних премій.,1943 – Браян Фернехоу, всесвітньовідомий англійський композитор.,1948 – Джон Карпентер, американський кінорежисер, зняв фільми «Сповідь невидимки» та «Хеллоуін».,1959 – Шаде Аду, британська соул-виконавиця нігерійського походження.,1962 – Людмила Юріна, сучасний український композитор.,1966 – Василь Попадюк, український скрипаль.,1969 – Елайа, ритм-н-блюзова виконавиця, яка трагічно загинула в авіакатастрофі.,1970 – Сергій Ярунський, український композитор, диригент і філософ.,1973 – Владислав Дружченко, український бадмінтоніст.,1974 – Кейт Мосс, англійська супермодель та акторка.,1981 – Нік Валенсі, гітарист нью-йоркської групи «The Strokes».,1983 – Андрій Русол, український футболіст, захисник збірної України з футболу, капітан дніпропетровського «Дніпра»., ,1794 – Едвард Гіббон, британський історик, член Парламенту.,1806 – Ніколя Леблан, французький хімік та хірург, винахідник промислового способу отримання соди.,1891 – Лео Деліб, французький композитор, автор перших симфонізованих балетів («Коппелія», «Сільвія»), опери «Лакме».,1901 – Арнольд Беклін, швейцарський живописець, представник символізму.,1912 – Ґеорґ Гайм, німецький поет і прозаїк.,1916 – Модест Чайковський, драматург, оперний лібретист і перекладач українсько-французького походження, молодший брат Петра Ілліча Чайковського, брат-близнюк Анатолія Ілліча Чайковського.,1938 – Януарій Бортник, український режисер і актор (розстріляний в Києві).,1942 – Керол Ломбард, американська акторка. Номінантка на премію «Оскар».,1945 – Лев Штейнберг, український радянський диригент і композитор. Інструментував оперу «Тарас Бульба» Миколи Лисенка та вперше в Україні поставив її на сцені Харківського театру опери та балету (1924).,1947 – Андрій Шкуро, генерал-поручик Кубанського війська.,1957 – Артуро Тосканіні, італійський диригент.,1962 – Іван Мештрович, хорватський скульптор і архітектор.,1988 – Борис Харчук, український письменник,1989 – Дмитро Луценко, український поет-пісняр, автор пісні «Як тебе не любити, Києве мій!»,2002 – Роберт Генбері Браун, англо-австралійський радіоастроном,2009 – Ендрю Ваєт, американський художник.,2018 – Бредфорд Діллман, американський актор кіно та телебачення.,2020 – Крістофер Руел Толкін, письменник, літературознавець, лінгвіст.,Гордій, Павло, Малахій, Орина, Жанна, Мелетій, Василь, Ірина, Аріна.,– Яка погода в цей день, такою вона буде у березні.,– Яскраві зірки – до ясної погоди.,– Тріщать гілки дерев – до швидких морозів.,– Заметіль в цей день віщує хороший урожай меду.,– З’явилися кола біля призахідного сонця – до снігу і морозу.,Сенека, ","#історичний дайджест,#хто народився,#хто помер,#яке сьогодні свято,#іменинники і прикмети,#16 січня"
На Черкащині активізують вакцинацію дітей від поліомієліту,"Вакцинацію проти поліомієліту дітей віком від 6 місяців до 6 років розпочинають в області. Все для того, аби захистити малечу від цієї хвороби та наслідків, які вона спричиняє, зокрема й паралічу. Організаційні питання задля злагодженого старту щеплень проти поліо обговорили на , під головуванням заступниці очільника Черкащини Лариси Кошової.,Кампанія з імунізації проти поліомієліту має розпочатися наприкінці січня 2022 року по всій Україні. Активізували цю роботу на загальноукраїнському рівні через виявлені наприкінці листопада 2021 року випадки захворювання дітей на поліомієліт на Закарпатті та Рівненщині.,– Поліомієліт може спричинити невиліковний параліч і навіть смерть, – відзначила Лариса Кошова. – Прикметно, що часто хвороба не має жодних симптомів або їх плутають із симптомами ГРВІ чи розладу шлунку. Втім наслідки від хвороби дуже серйозні. На Черкащині, за попередніми підрахунками, до визначеної вікової групи, які потребують щеплень, належать близько 47 тисяч дітей. Саме їх маємо захистити за допомогою вакцинації від цієї хвороби.,Щеплення проти поліо входить до переліку обов’язкових. Інактивовану полівакцину отримають усі ті діти, у кого немає ще щеплення. Робитимуть його безоплатно вакцинами, які зареєстровані та дозволені для використання в Україні. Ці препарати використовують державні й приватні клініки.,– Зараз ми розробляємо регіональний план, за яким будемо організовувати вакцинальну кампанію проти поліомієліту на Черкащині, – додала заступниця голови ОДА. – Відповідно до Національного календаря профілактичних щеплень, дітей вакцинують від поліомієліту у 2, 4, 6, 18 місяців, 6 і 14 років. Загалом на Черкащині маємо показники у 90% вакцинації проти поліо при нормі в 95%. Після завершення цього раунду буде проведено три тури додаткової імунізації дітей до 6 років оральною поліовакциною (ОПВ).,Як повідомляла раніше vikka.ua, ","#вакцинація,#черкаські новини,#новини черкаси,#поліомієліт"
