title,text_list,tag_list,url
Півтори сотні гумористів зі всієї країни змагалися на Черкащині," Два десятки команд, понад 150 учасників з усієї країни, зіркові редактори та тренери – таким стартував кардинально новий сезон золотоніської ""Ліги Сміху"". Традиційний гумористичний благодійний проект у Золотоноші відтепер вийшов на якісно новий рівень. Віднині місцева ""Ліга"" носить статус відкритої, збираючи на своїй базі коміків з багатьох міст України. про це пише сайт ,., Редакторами проекту стали двоє досвідчених гостей із Києва − автори скетчкомів ""Країна У"" та ""Зірконавти"" Сергій Бібілов та Ілля Дерменжи. Саме вони протягом місяця опікувалися місцевою ""Лігою"", а впродовж останнього тижня ретельно здійснювали відбір конкурсантів на гала-концерт., , Не менш цікавим став і тренерський склад, котрий протягом сезону не лише вирішуватиме долю учасників, а й сам братиме участь у виступах. Цього разу таку місію взяли на себе переможець двох сезонів у якості тренера, міський голова Віталій Войцехівський, меценатка, засновник благодійного фонду ""Разом"" Людмила Русаліна, актор відомої лігосміхівської команди ""30+"" Іван Кухарчук, його колега із колективу ""Ветерани космічних військ"" Артем Дамницький, а також актриса театру та кіно, пародистка Олька з найкращої комедії року ""Скажене весілля"" Інна Приходько., У результаті фестивального відбору наразі сформовано 10 колективів, що протягом сезону виборюватимуть першість. Мова йде про команди ""Кавомани"" із Золотоноші та ""Sha"" із Києва (тренер – Віталій Войцехівський), ""Довідник Стеля"" із Черкас та ""Старі клячі"" із Золотоноші (тренер – Людмила Русаліна), ""Поні в яблуках"" із Полісся та чорнобаївський колектив ""По-людськи"" (тренер – Інна Приходько), ""Одуванчик"" із Ужгорода та ""Дуракам закон не писан"" із Ніжина (тренер – Іван Кухарчук), ""Владимирский централ – Город северный"" із Чернігова та ""Хвилюватись немає причин"" із Черкас (тренер – Артем Дамницький)., , Окремо судді та організатори відзначили і колективи, що не потрапили до регулярного сезону. Кубок Фестивалю цього вечора дістався золотоніській команді ""КАЧ"", що свого часу була сформована на базі всім відомої ""Активії"" і вже встигла навіть взяти участь у Одеському фестивалі ""Ліги Сміху"". Грошову ж премію отримала молодіжна команда ""Кілька людей"" із Тернополя., Зазначимо, що конкурс має благодійну мету. Тому вся виручка від продажу квитків направиться на допомогу комусь із містян. Також окремо на вході до залу стояла благодійна скринька. Цього разу 21,5 тисяч гривень вдалося зібрати на лікування місцевої школярки Олі Тупоти., Чвертьфінал золотоніської відкритої ""Ліги Сміху"" відбудеться 7 червня. Саме там публіка побачить у справі вже й зіркових тренерів., , Як повідомляв сайт vikka.ua, хлопець із Золотоноші на всю країну , перемогою на дизайнерському шоу., ,  ","#ВІККА,#новини,#Черкащина,#гумор",https://www.vikka.ua/novini/pivtori-sotni-gumoristiv-zi-vsiye%d1%97-kra%d1%97ni-zmagalisya-na-cherkashhini/
Водії-порушники у Черкасах розбили чужі автівки (ФОТО)," У Черкасах зранку 22 квітня сталося дві дорожньо-транспортні пригоди, пов’язані із порушенням Правил дорожнього руху. Про це повідомляє прес-служба патрульної поліції Черкаської області., Так, на перехресті вулиць Богдана Хмельницького та Благовісної водій ""Opel Astra"" проїхав на ""червоний"" та врізався в автомобіль ""ВАЗ-2115"". Правоохоронці, які прибули на місце події, склали протокол на винуватця зіткнення., , Окрім цього вранці сталася ще одна схожа пригода на перехресті вулиць Святотроїцька та Хрещатик. Там водій автомобіля ""Daewoo Nexia"" не пропустив легковик ""Skoda Fabia"". Правоохоронці також склали протокол на порушника ПДР., , , В обох пригодах транспортні засоби отримали механічні ушкодження, ніхто із учасників не постраждав., , Як повідомляв сайт vikka.ua, водій під час руху в Черкасах , свідомість та врізався у дерево., ,  ","#Черкаси,#ВІККА,#новини,#ДТП",https://www.vikka.ua/novini/vodi%d1%97-porushniki-u-cherkasax-rozbili-chuzhi-avtivki-foto/
Браконьєри на Черкащині виловили сітками риби на майже 10 тисяч гривень (ФОТО)," Під час весняно-літнього нересту інспектори на річці Супій, в притоці Кременчуцького водосховища, неподалік сіл Дмитрівка та Матвіївка, Золотоніського району, виявили незаконний вилов риби. Про це повідомляє начальник управління екологічного нагляду у Черкаській області Олександр Позняков., Так, правоохоронці виявили 14 браконьєрських сіток, загальною довжиною близько 1 км., із уловом. Під час обстеження було виявлено 70 пліток, 15 плоскирок, одного окуня, 13 лящів, двох краснопірок, 34 карасів, двох язів та одного лина. Внаслідок незаконного вилову риби було завдано шкоди державі на суму 9 772 грн., , Щоб встановити осіб, причетних до злочину, на місце події викликали слідчо-оперативну групу. Правоохоронці вилучили сітки. Рибу здали під реалізацію до рибоприймального пункту, після чого гроші перераховують до державного бюджету., , Як повідомляв сайт vikka.ua, протягом п'яти днів браконьєри на Черкащині , риби на понад 90 тисяч гривень., ,  ","#ВІККА,#новини,#Черкащина,#браконьєрство",https://www.vikka.ua/novini/brakonyeri-na-cherkashhini-vilovili-sitkami-ribi-na-majzhe-10-tisyach-griven-foto/
На Черкащині невідомі підпалили підсобне приміщення в парку (ФОТО)," У Монастирищі сталася пожежа в підсобному приміщенні парку. Про це повідомляє прес-служба Монастирищенської державної пожежно-рятувальної частини №22., За інформацією рятувальників, подія сталася в парку Подоського. Прибувши на місце було встановлено, що горить підсобне приміщення сцени. За попередніми даними, причиною пожежі став умисний підпал невстановленими особами., Пожежу було оперативно ліквідовано., , , , , Як повідомляв сайт vikka.ua, черкащани, у яких , будинок, просять допомоги небайдужих., ,  ","#ВІККА,#новини,#Черкащина,#пожежа",https://www.vikka.ua/novini/na-cherkashhini-nevidomi-pidpalili-pidsobne-primishhennya-v-parku-foto/
Чорнобаївська самбістка стала віце-чемпіонкою Європи (ФОТО)," Владислава Торопцева (на знімку перша зліва) показала високий результат на чемпіонаті Європи серед молоді з боротьби самбо (до 18 і до 20 років). Про це пише "",""., Владислава Торопцева з смт Чорнобай на змаганнях, які проходили на Кіпрі, виборола ІІ місце у ваговій категорії до 70 кг., Підготував спортсменку до цих відповідальних змагань тренер Анатолій Снітко., Як повідомляв сайт vikka.ua, черкащанин виборов , чемпіонату України з армспорту., ","#ВІККА,#новини,#Черкащина,#спорт",https://www.vikka.ua/novini/chornoba%d1%97vska-sambistka-stala-vice-chempionkoyu-yevropi-foto/
Мігранта-нелегала з Ізраїлю піймали на Черкащині," В Умані затримали громадянина Ізраїлю, який незаконно перебував на території України. Про це повідомляє прес-служба управління ДМС України в Черкаській області., Так, 21 квітня було затримано іноземня 1977 року народження, який майже 8 місяців перебував на території України, перевищує встановлений дозволений термін. Мігранта було притягнуто до адміністративної відповідальності та призначено примусове повернення до Ізраїлю. Тож чоловік має до 5 травня сплатити штраф і повернутися на батьківщину. Окрім цього йому заборонено протягом трьох років в’їжджати до України., Зазначимо, що громадяни Ізраїлю мають змогу користуватися безвізовим режимом поїздок, який дозволяє перебування до 90 діб протягом 180 діб на території України., , Як повідомляв сайт vikka.ua, молодий мігрант , на чоловіка в Черкасах., ,  ","#ВІККА,#новини,#Черкащина,#міграційна служба",https://www.vikka.ua/novini/migranta-nelegala-z-izra%d1%97lyu-pijmali-na-cherkashhini/
Цього тижня на Черкащині пануватиме по-літньому тепла погода," Вже зараз відбувається перебудова атмосфери з північного процесу на південний, тому цього тижня кожен день буде теплішим від попереднього. Період нічних та ранкових заморозків поступово закінчується. Про це повідомляє начальник Черкаського обласного центру з гідрометеорології Віталій Постригань., Поточний тиждень радуватиме сонячною, сухою і теплою погодою. Температури повітря вночі становитиме 5..10 градусів тепла, вдень повітря прогріватиметься до 18..23. Така погода сприяє швидкому зростанню показника пожежної небезпеки. Тому вже завтра на Черкащині пануватиме найвищий, п’ятий, клас пожежної небезпеки., , Як повідомляв сайт vikka.ua, з наступного тижня на Черкащині , потепління., ,  ","#ВІККА,#новини,#Черкащина,#погода",https://www.vikka.ua/novini/cogo-tizhnya-na-cherkashhini-panuvatime-po-litnomu-tepla-pogoda/
"ПриватБанк запустив новий ""безконтакт"" – оплату за QR-кодом у POS-терміналах","ПриватБанк запустив в Україні нову технологію оплати покупок смартфонами за QR-кодом через POS-термінали. Як повідомили в банку, така технологія дозволить оплачувати безконтактно будь-які покупки за допомогою смартфонів, що не підтримують NFC-оплату.,Тепер для оплати покупки можна сканувати смартфоном QR-код, який з’явиться на екрані POS-термінала ПриватБанку після введення касиром суми оплати. Для цього достатньо будь-якого смартфону з додатком Privat24. Після сканування коду клієнту залишається вибрати в додатку картку та підтвердити оплату.,За даними ПриватБанку, у першому кварталі 2019 року обсяг безготівкових оплат у мережі еквайрингу банку виріс на 40,5% порівняно з аналогічним періодом 2018 року. До кінця року банк планує збільшити мережу торгових терміналів до 190 тисяч, причому більшість із них будуть приймати безконтактні платежі.","#Черкаси,#ВІККА,#новини,#ПриватБанк",https://www.vikka.ua/novini-na-vikka/yekonomichni-novini/privatbank-zapustiv-novij-bezkontakt-oplatu-za-qr-kodom-u-pos-terminalax/
У трьох громадах-об’єднавцях Черкащини призначили вибори," Центральна виборча комісія своєю постановою призначила 30 червня перші вибори депутатів сільських, селищних, міських рад об’єднаних територіальних громад і відповідних сільських, селищних, міських голів у 66 об’єднаних територіальних громадах. З-поміж них – три з Черкащини, , у Департаменті регіонального розвитку облдержадміністрації., Зокрема на вибори йдуть 7 міських, 14 селищних, 45 сільських ОТГ України. В області вибори плануються у Драбівській селищній ОТГ та двох сільських ОТГ – Баштечківській Жашківського району та Виноградській Лисянського району. Драбівська об’єднає понад 7 тисяч мешканців 1 селища та 2 сіл, Баштечківська громада – майже 2,5 тисяч мешканців 5 сіл 1 селище, Виноградська – 3,5 тисяч мешканців 6 сіл і 1 селище. Виборчий процес тут розпочнеться вже 11 травня., Окрім того, 30 червня також відбудуться додаткові вибори депутатів сільських, селищних рад, що приєднуються до ОТГ. Про це йдеться у постанові ЦВК. На Черкащині такі вибори відбудуться у 5 сільських радах: Макіївській, Самгородоцькій, Санжариській, Ташлицькій які приєднуватимуться до Ротмістрівської ОТГ, що на Смілянщині, та Юрківській, яка поєднуватиметься до Паланської ОТГ Уманського району. Виборчий процес тут також стартує 11 травня., Як повідомляв сайт vikka.ua, в ОТГ на Черкащині , медичної амбулаторії., ","#ВІККА,#новини,#вибори,#Черкащина,#ОТГ",https://www.vikka.ua/novini/u-trox-gromadax-obyednavcyax-cherkashhini-priznachili-vibori/
"Зловмисників, які на Черкащині убили молоду таксистку, арештували"," Підозрюваних у вбивстві таксистки та угоні автомобіля на Черкащині взято під варту. Про це повідомляє , прокуратури Черкаської області., Слідством було встановлено, що двоє чоловіків замовили таксі з Києва до міста Ватутіне. Дорогою вони вирішили викрасти автомобіль, яким керувала молода таксистка. Саме тоді 27-річний пасажир витяг з кишені пістолет та двічі вистрілив водійці в голову., Пізніше зловмисники викинули тіло жінки в канаву біля міста Ватутіне, викрали автівку та поїхали у невідомому напрямку. Особи зловмисників було встановлено. Ними виявилися двоє жителів міста Звенигородка. Їм повідомлено про підозру, щодо них обрано запобіжний захід у вигляді тримання під вартою., За вчинене особам загрожує від 10 до 15 років позбавлення волі або довічне позбавлення волі з конфіскацією майна., Як повідомляв сайт vikka.ua, молодик на Черкащині ледь , неповнолітнього., ,  ","#ВІККА,#новини,#Черкащина,#умисне вбивство",https://www.vikka.ua/novini/zlovmisnikiv-yaki-na-cherkashhini-ubili-molodu-taksistku-areshtuvali/
